carat,cut,color,clarity,depth,table,price,x,y,z
0.27,Very Good,F,VVS2,61.3,62.0,552,4.15,4.2,2.56
0.7,Fair,E,VS2,60.6,64.0,2697,5.77,5.62,3.45
0.78,Very Good,G,VS1,61.5,55.0,3472,5.92,5.97,3.66
0.58,Ideal,I,SI2,61.3,56.0,1158,5.38,5.45,3.32
0.72,Premium,E,SI2,61.6,59.0,2019,5.83,5.68,3.55
0.32,Ideal,H,VS1,61.9,55.0,720,4.42,4.4,2.73
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68
0.32,Very Good,E,VS1,62.9,57.0,661,4.36,4.39,2.75
0.61,Ideal,E,VVS2,62.4,53.9,2907,5.42,5.43,3.38
0.83,Good,J,SI1,63.8,58.0,2311,5.97,5.95,3.8
0.5,Ideal,D,SI1,62.6,57.0,1654,5.1,5.06,3.18
0.8,Ideal,I,SI1,62.6,56.1,2677,5.87,5.92,3.7
0.37,Very Good,E,VS2,60.6,58.0,757,4.62,4.65,2.81
0.4,Premium,D,SI2,59.9,60.0,666,4.74,4.78,2.85
0.34,Ideal,G,VVS1,62.5,53.0,956,4.49,4.47,2.8
1.21,Ideal,G,VVS2,60.6,56.0,10256,6.9,6.89,4.18
0.32,Premium,G,SI1,61.6,58.0,477,4.36,4.4,2.7
1.51,Premium,H,SI2,63.0,59.0,7321,7.26,7.16,4.54
0.27,Ideal,E,VVS1,62.0,56.0,752,4.19,4.16,2.59
0.42,Premium,E,SI1,61.5,58.0,926,4.84,4.78,2.96
0.8,Good,E,SI2,61.4,59.0,2542,5.94,6.01,3.67
0.75,Good,J,SI1,63.9,56.0,2250,5.76,5.71,3.66
0.31,Very Good,D,SI2,62.9,59.0,462,4.28,4.31,2.7
1.72,Premium,H,SI1,62.2,59.0,9551,7.62,7.55,4.72
1.01,Ideal,F,SI1,60.9,55.0,5345,6.5,6.48,3.95
0.77,Ideal,H,VVS2,61.3,56.0,3707,5.91,5.94,3.63
2.0,Very Good,E,SI2,63.1,53.0,16380,7.99,8.11,5.08
0.41,Very Good,D,VS1,61.7,58.0,1018,4.76,4.8,2.95
0.5,Ideal,F,SI1,59.9,56.0,1378,5.36,5.09,3.13
0.3,Very Good,D,VS2,62.9,58.0,710,4.23,4.26,2.67
1.83,Premium,I,VS2,60.5,60.0,10043,7.93,7.86,4.78
1.11,Ideal,G,SI2,61.9,55.0,4185,6.65,6.6,4.1
0.25,Very Good,E,VVS2,60.5,59.0,575,4.06,4.1,2.47
0.7,Premium,J,SI1,61.3,59.0,1827,5.75,5.73,3.52
0.32,Ideal,D,VVS1,61.7,55.0,1140,4.44,4.41,2.73
0.9,Good,H,SI1,63.8,57.0,3201,6.07,6.13,3.89
0.3,Premium,D,SI1,61.0,60.0,709,4.35,4.3,2.64
1.67,Ideal,G,VS1,61.5,55.0,16643,7.62,7.67,4.7
0.3,Ideal,E,VS2,62.6,56.0,658,4.29,4.33,2.7
0.41,Ideal,F,VVS1,61.7,57.0,1356,4.8,4.77,2.95
0.32,Premium,G,VS1,61.4,58.0,645,4.36,4.4,2.69
0.25,Good,E,VVS2,58.0,65.0,476,4.13,4.18,2.41
0.41,Premium,E,VS1,62.3,59.0,1153,4.76,4.74,2.96
1.01,Very Good,E,SI1,62.3,60.0,5224,6.36,6.39,3.97
0.91,Very Good,H,VS1,63.4,56.0,4224,6.18,6.12,3.9
1.21,Ideal,H,VS1,62.8,54.0,7928,6.81,6.78,4.26
0.51,Ideal,G,VS1,60.2,56.0,1852,5.2,5.24,3.14
0.58,Very Good,G,SI2,59.5,59.0,1197,5.41,5.45,3.23
0.32,Ideal,H,VS1,63.0,55.0,720,4.42,4.4,2.78
0.34,Premium,H,VS2,61.9,60.0,689,4.46,4.42,2.75
0.32,Ideal,F,VS2,61.1,57.0,645,4.44,4.47,2.72
1.01,Premium,E,SI1,59.8,59.0,5543,6.52,6.48,3.89
1.59,Ideal,J,VS1,62.1,55.0,8925,7.47,7.51,4.65
0.34,Ideal,E,VS2,62.4,55.0,745,4.48,4.53,2.81
0.34,Ideal,I,SI1,62.4,56.0,459,4.45,4.49,2.79
0.71,Good,G,VS2,63.5,59.0,2029,5.63,5.67,3.59
0.53,Good,E,VVS2,63.4,61.0,2582,5.11,5.18,3.26
0.32,Ideal,H,VS2,61.5,55.0,523,4.41,4.44,2.72
1.13,Ideal,E,SI2,61.8,57.0,5120,6.68,6.65,4.12
0.51,Very Good,G,VVS1,62.9,57.0,1800,5.08,5.12,3.21
1.14,Very Good,D,VS2,58.7,60.0,7928,6.82,6.88,4.02
0.33,Good,I,SI1,63.2,58.0,445,4.36,4.38,2.76
1.2,Very Good,G,VS2,63.1,57.0,8032,6.74,6.69,4.24
1.22,Ideal,H,SI2,61.0,57.0,5099,6.89,6.95,4.22
1.01,Ideal,F,SI1,62.0,54.0,5527,6.41,6.49,4.0
0.31,Ideal,E,VVS1,59.8,60.0,725,4.38,4.42,2.63
1.22,Premium,G,SI1,62.3,58.0,6288,6.83,6.76,4.23
1.02,Very Good,H,SI1,64.4,59.0,5047,6.24,6.36,4.06
1.52,Ideal,F,VS2,62.3,55.0,11405,7.37,7.33,4.58
2.14,Very Good,I,VS2,59.7,57.0,16914,8.41,8.48,5.04
1.3,Premium,D,SI1,62.2,58.0,7426,6.93,6.83,4.28
1.02,Premium,I,VS2,59.5,59.0,4662,6.54,6.5,3.88
0.73,Ideal,I,VVS2,62.3,55.0,2519,5.77,5.76,3.59
1.0,Very Good,G,VVS1,62.3,55.0,8246,6.34,6.44,3.98
0.56,Ideal,D,VS2,61.2,56.0,2066,5.35,5.3,3.26
0.34,Premium,F,VS2,62.3,57.0,880,4.48,4.44,2.78
1.32,Ideal,I,VS2,60.8,57.0,7209,7.07,7.02,4.28
0.65,Very Good,G,SI1,62.0,58.0,1828,5.5,5.58,3.43
0.4,Ideal,F,VS2,61.0,62.0,867,4.71,4.74,2.88
0.38,Ideal,F,SI1,62.5,53.7,693,4.64,4.66,2.91
1.07,Ideal,H,SI2,62.4,55.0,4840,6.56,6.59,4.1
0.31,Ideal,G,VVS1,60.6,57.0,1046,4.4,4.38,2.66
1.71,Very Good,E,SI1,63.4,56.0,13970,7.58,7.5,4.78
0.3,Ideal,E,VVS2,62.3,56.0,766,4.28,4.32,2.68
0.7,Premium,F,SI1,58.6,59.0,2657,5.83,5.78,3.4
1.05,Very Good,F,VS2,62.0,56.0,6545,6.48,6.52,4.03
0.72,Ideal,G,VS1,61.8,56.0,3478,5.74,5.76,3.55
0.54,Very Good,G,SI1,62.2,57.0,1241,5.17,5.22,3.23
2.61,Ideal,J,SI2,64.6,55.0,17209,8.61,8.57,5.55
0.3,Very Good,G,VVS1,62.1,61.0,789,4.27,4.3,2.66
1.17,Ideal,I,SI2,61.8,54.0,4999,6.78,6.82,4.2
1.0,Fair,G,VS2,63.7,55.0,5484,6.28,6.21,3.98
1.01,Very Good,H,VS2,62.2,56.0,4821,6.35,6.44,3.98
1.5,Good,D,SI2,61.1,64.0,7722,7.26,7.35,4.46
0.3,Ideal,F,IF,62.2,56.0,886,4.31,4.34,2.69
1.12,Premium,G,SI2,61.2,58.0,4158,6.69,6.67,4.09
1.12,Premium,I,SI1,62.0,56.0,4641,6.73,6.65,4.15
0.41,Premium,F,SI1,61.0,60.0,755,4.77,4.81,2.92
0.37,Ideal,H,VVS1,62.0,53.0,815,4.63,4.66,2.88
0.75,Ideal,H,VVS2,62.0,55.1,2992,5.83,5.85,3.62
0.91,Premium,D,SI1,63.0,59.0,4352,6.15,6.11,3.86
0.5,Very Good,I,SI1,63.5,56.0,1048,5.02,5.06,3.2
0.7,Ideal,F,VS1,62.2,55.0,2381,5.72,5.69,3.55
0.5,Ideal,E,VS2,61.4,55.0,1614,5.12,5.14,3.15
1.03,Ideal,D,VS2,62.0,54.8,7697,6.47,6.51,4.02
0.47,Very Good,G,SI1,62.8,56.0,1133,4.96,4.93,3.11
0.31,Ideal,D,IF,60.5,57.0,1917,4.39,4.41,2.66
0.3,Good,G,VVS2,63.6,57.0,684,4.26,4.3,2.72
0.9,Very Good,J,VS1,62.4,57.0,3643,6.13,6.18,3.84
0.34,Ideal,F,VVS1,61.1,57.0,858,4.55,4.58,2.79
0.31,Good,H,VS2,63.1,57.0,489,4.27,4.32,2.71
0.49,Good,F,VS1,58.9,60.5,1430,5.17,5.21,3.05
1.0,Premium,E,SI2,62.7,58.0,4579,6.41,6.34,4.0
0.5,Ideal,E,SI2,61.1,58.0,1185,5.09,5.13,3.12
1.3,Ideal,G,VS2,61.9,55.0,9225,7.04,7.01,4.35
0.41,Ideal,H,VS1,61.9,56.0,827,4.75,4.78,2.95
0.57,Premium,G,VS1,60.2,57.0,1819,5.42,5.37,3.25
0.54,Ideal,E,SI1,61.5,56.0,1594,5.31,5.26,3.25
1.48,Ideal,E,SI2,62.1,57.0,8818,7.35,7.28,4.54
0.31,Ideal,D,VS2,61.5,56.0,734,4.35,4.36,2.68
2.01,Good,H,SI2,62.3,60.0,14426,7.95,7.97,4.96
0.49,Very Good,G,IF,59.7,56.0,1865,5.16,5.19,3.09
0.73,Ideal,E,SI2,59.9,57.0,2059,5.87,5.82,3.5
1.01,Premium,E,VS2,62.7,57.0,6787,6.36,6.31,3.97
0.3,Ideal,G,VS1,62.6,57.0,776,4.29,4.27,2.68
0.5,Ideal,H,VS2,61.7,55.0,1626,5.11,5.14,3.16
0.5,Ideal,E,VS1,61.9,56.0,1716,5.09,5.12,3.16
0.37,Premium,F,SI2,60.7,57.0,624,4.67,4.62,2.82
0.53,Very Good,E,SI1,63.0,55.0,1408,5.14,5.18,3.25
0.42,Good,F,SI1,63.6,57.0,926,4.76,4.7,3.01
0.41,Very Good,G,SI2,63.4,58.0,784,4.73,4.7,2.99
1.22,Ideal,H,SI1,61.9,56.0,5985,6.86,6.83,4.24
0.6,Very Good,D,VVS2,60.6,57.0,2897,5.48,5.51,3.33
0.57,Ideal,F,SI1,61.6,57.0,1571,5.37,5.34,3.3
0.93,Very Good,G,SI1,61.5,57.0,4111,6.23,6.33,3.86
0.31,Ideal,F,VVS2,61.5,56.0,917,4.35,4.37,2.68
1.01,Premium,G,VS1,62.3,59.0,6618,6.42,6.38,3.99
0.51,Premium,E,VS2,61.9,59.0,1656,5.06,5.11,3.15
0.6,Ideal,E,VS2,62.3,53.8,2137,5.41,5.45,3.38
0.41,Premium,H,VS1,62.6,60.0,1061,4.77,4.75,2.98
0.51,Ideal,G,VS1,61.0,55.0,1781,5.21,5.11,3.15
1.5,Premium,E,VS1,59.5,61.0,17143,7.46,7.43,4.43
0.77,Fair,F,VS1,66.8,57.0,3031,5.66,5.76,3.82
0.75,Premium,D,SI1,59.2,58.0,3024,5.96,5.93,3.52
0.7,Very Good,D,VVS1,62.7,54.0,4244,5.67,5.71,3.57
0.34,Very Good,G,VVS2,62.3,59.0,740,4.45,4.48,2.78
0.38,Premium,F,VS2,60.5,59.0,800,4.67,4.72,2.84
1.06,Very Good,G,VS2,59.4,59.0,6217,6.68,6.63,3.95
0.3,Ideal,G,VS1,62.4,57.0,624,4.3,4.32,2.69
1.03,Premium,E,SI2,61.8,59.0,4845,6.47,6.42,3.98
0.3,Ideal,F,VS2,61.3,55.0,605,4.3,4.32,2.64
0.33,Premium,G,VS2,61.4,60.0,579,4.41,4.45,2.72
2.08,Premium,H,SI1,62.6,59.0,17617,8.1,8.13,5.08
1.24,Ideal,E,VS2,62.0,57.0,9240,6.87,6.9,4.27
0.32,Premium,I,SI1,61.1,59.0,421,4.38,4.42,2.69
1.24,Ideal,G,VS2,62.0,57.0,9188,6.87,6.84,4.25
0.36,Premium,I,SI1,60.4,60.0,624,4.62,4.58,2.78
0.27,Ideal,H,VS1,62.3,54.0,500,4.16,4.19,2.6
1.21,Very Good,G,VS2,59.5,58.0,7906,6.96,7.03,4.16
0.47,Ideal,G,VVS2,62.2,53.0,1618,5.0,5.04,3.12
1.0,Ideal,F,SI1,62.0,55.0,5239,6.39,6.44,3.98
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57
0.39,Ideal,I,VS1,62.5,54.0,1047,4.7,4.67,2.92
0.31,Ideal,G,VVS2,61.4,56.0,707,4.35,4.38,2.68
0.56,Ideal,G,SI1,62.5,57.0,1345,5.26,5.23,3.28
0.71,Premium,I,VS1,61.9,58.0,2104,5.76,5.71,3.55
0.76,Ideal,I,SI1,61.8,57.0,2399,5.89,5.83,3.62
2.02,Ideal,F,SI2,62.7,57.0,13453,8.07,7.93,5.03
1.04,Premium,H,SI2,62.4,58.0,3611,6.49,6.4,4.02
1.51,Very Good,F,VVS2,61.3,61.0,17203,7.33,7.36,4.5
0.3,Ideal,E,SI1,61.6,57.0,675,4.32,4.29,2.65
0.37,Very Good,E,SI2,61.6,56.0,493,4.61,4.65,2.85
1.26,Fair,G,SI2,53.2,61.0,4966,7.44,7.36,3.94
1.25,Premium,I,VS2,61.2,58.0,6300,6.94,6.89,4.23
1.16,Premium,D,I1,61.8,59.0,3711,6.78,6.74,4.18
0.73,Very Good,E,VS2,62.9,58.0,3184,5.7,5.75,3.6
0.32,Ideal,D,VVS2,61.7,55.0,790,4.39,4.42,2.72
1.52,Very Good,J,VS1,62.2,55.0,8217,7.35,7.42,4.59
0.32,Premium,D,SI1,61.5,59.0,756,4.42,4.39,2.71
0.96,Ideal,H,SI2,62.1,57.0,4213,6.3,6.35,3.93
1.07,Ideal,E,SI2,61.7,57.0,4374,6.59,6.56,4.06
0.41,Ideal,F,VVS1,61.8,55.0,1356,4.78,4.76,2.95
0.27,Ideal,E,VS2,61.0,55.0,577,4.18,4.2,2.56
0.47,Very Good,D,VS1,59.5,61.0,1422,5.06,5.03,3.02
0.35,Ideal,F,VS2,61.4,55.0,706,4.55,4.6,2.81
1.0,Good,D,VS2,63.1,56.0,7114,6.36,6.4,4.02
0.38,Premium,J,VS1,62.1,60.0,770,4.64,4.6,2.87
1.06,Ideal,I,VS1,62.0,55.0,5577,6.55,6.58,4.07
0.77,Very Good,D,SI1,62.1,58.0,3040,5.84,5.89,3.64
1.21,Ideal,F,I1,62.0,56.0,4377,6.84,6.8,4.23
0.33,Premium,G,VS1,60.8,59.0,854,4.45,4.43,2.7
0.39,Ideal,E,IF,61.1,57.0,1333,4.73,4.76,2.9
0.31,Premium,H,VVS2,62.4,59.0,625,4.31,4.35,2.7
1.13,Premium,I,SI2,59.9,57.0,4271,6.8,6.76,4.06
0.61,Good,F,SI2,62.5,65.0,3807,5.36,5.29,3.33
1.06,Very Good,E,SI2,61.7,62.0,4570,6.5,6.54,4.02
0.31,Good,F,SI1,63.1,55.0,516,4.28,4.34,2.72
0.3,Ideal,H,SI1,60.9,58.0,450,4.31,4.33,2.63
2.01,Ideal,E,SI2,62.2,57.0,17688,8.04,8.09,5.02
1.24,Premium,E,SI2,60.8,57.0,4278,6.98,6.94,4.23
0.32,Premium,F,VS2,61.2,59.0,645,4.4,4.42,2.7
0.31,Premium,H,VVS2,62.4,59.0,802,4.35,4.31,2.7
1.01,Premium,I,SI1,61.8,59.0,4242,6.44,6.37,3.96
0.7,Premium,G,VS2,62.1,60.0,2314,5.71,5.65,3.53
1.0,Very Good,H,SI2,63.7,58.0,4395,6.31,6.35,4.03
1.1,Premium,E,SI2,60.7,58.0,4829,6.77,6.65,4.07
1.06,Ideal,G,VS1,61.3,57.0,8093,6.53,6.56,4.01
0.33,Ideal,E,SI1,62.0,54.0,579,4.41,4.43,2.74
1.0,Very Good,H,SI1,61.5,59.0,5036,6.35,6.4,3.92
0.9,Very Good,E,VVS2,62.0,55.0,6466,6.08,6.17,3.8
1.15,Ideal,I,VS2,61.7,59.0,5038,6.68,6.73,4.14
0.27,Ideal,H,VS1,61.6,56.0,480,4.16,4.19,2.57
0.39,Ideal,F,VS1,61.6,57.0,902,4.7,4.72,2.9
1.2,Very Good,G,SI2,62.6,60.0,5116,6.68,6.74,4.2
1.15,Premium,F,SI2,62.2,59.0,4437,6.7,6.62,4.14
0.42,Ideal,E,VVS2,61.3,56.0,1216,4.81,4.85,2.96
1.01,Very Good,D,SI2,60.3,57.0,4588,6.51,6.56,3.94
0.59,Very Good,H,VS2,61.8,56.0,1552,5.37,5.41,3.33
0.31,Fair,D,VVS2,54.2,65.0,997,4.61,4.58,2.49
0.31,Good,D,SI1,63.5,58.0,571,4.27,4.3,2.72
0.39,Very Good,E,VVS2,62.2,55.0,962,4.66,4.7,2.91
0.9,Good,I,SI2,60.9,63.0,2680,6.13,6.21,3.76
0.3,Very Good,H,VS1,62.0,58.0,526,4.24,4.28,2.64
0.56,Ideal,G,IF,61.8,56.0,2442,5.28,5.34,3.28
0.33,Ideal,G,VVS2,62.7,55.0,752,4.41,4.46,2.78
0.7,Ideal,I,VVS2,62.1,56.0,2353,5.65,5.71,3.53
1.79,Premium,G,SI1,60.5,58.0,14127,7.88,7.83,4.75
0.41,Premium,F,VS1,61.1,58.0,1076,4.78,4.74,2.91
0.31,Ideal,F,VVS1,61.8,56.0,884,4.33,4.37,2.69
1.31,Ideal,H,SI2,62.3,56.0,6225,7.0,6.97,4.35
0.3,Ideal,F,SI1,62.0,55.1,499,4.29,4.32,2.67
1.13,Ideal,G,VS2,62.7,57.0,6525,6.65,6.68,4.18
0.51,Ideal,E,VS2,61.4,57.0,1656,5.13,5.16,3.16
0.31,Very Good,D,SI1,60.2,56.0,571,4.37,4.4,2.64
0.35,Ideal,H,VS1,62.0,56.0,788,4.56,4.54,2.82
1.58,Ideal,E,VS1,62.6,56.0,17894,7.41,7.44,4.65
0.7,Ideal,D,VS1,61.1,57.0,3278,5.73,5.75,3.51
1.01,Premium,F,VS2,62.1,60.0,5988,6.36,6.43,3.97
1.0,Good,G,VS1,64.4,58.0,5906,6.23,6.29,4.03
0.36,Ideal,E,VS1,61.6,57.0,852,4.54,4.58,2.81
0.7,Premium,I,VS2,60.8,59.0,2268,5.71,5.68,3.46
0.3,Ideal,G,VS2,63.0,55.0,675,4.31,4.29,2.71
0.51,Ideal,H,VS1,62.6,57.0,1438,5.09,5.13,3.2
0.4,Ideal,I,VS1,61.5,59.0,736,4.72,4.75,2.91
1.51,Premium,H,SI1,59.9,60.0,9261,7.45,7.4,4.45
1.13,Premium,G,VS2,62.5,58.0,6743,6.69,6.59,4.15
0.32,Ideal,E,VS2,61.6,56.0,637,4.4,4.43,2.72
0.52,Ideal,G,VVS2,61.8,57.0,2012,5.19,5.14,3.19
0.31,Ideal,H,IF,61.4,57.0,772,4.36,4.39,2.68
0.26,Good,E,IF,59.6,61.0,597,4.13,4.16,2.47
0.32,Ideal,H,VVS2,61.7,56.0,828,4.42,4.37,2.71
0.31,Premium,D,VVS1,62.1,59.0,942,4.38,4.32,2.7
1.52,Premium,H,SI1,62.1,59.0,9527,7.29,7.36,4.55
1.0,Premium,E,SI1,60.8,60.0,5470,6.45,6.42,3.91
0.51,Very Good,H,SI1,61.2,55.0,1008,5.19,5.21,3.18
0.53,Ideal,D,SI1,62.3,56.0,1566,5.15,5.18,3.22
0.36,Ideal,J,VS2,61.5,55.0,459,4.6,4.63,2.84
0.9,Good,F,SI2,63.1,56.0,3519,6.12,6.18,3.88
0.7,Premium,H,SI2,60.5,61.0,1808,5.75,5.72,3.47
1.07,Ideal,F,SI1,62.3,56.0,6200,6.51,6.53,4.06
0.91,Ideal,E,SI2,60.8,56.0,3968,6.25,6.29,3.81
1.01,Premium,F,SI2,61.7,60.0,4616,6.42,6.36,3.94
1.1,Good,I,VS1,63.7,60.0,4967,6.61,6.45,4.16
0.34,Ideal,G,IF,61.9,55.0,974,4.51,4.54,2.8
0.28,Premium,E,VVS2,60.1,59.0,646,4.22,4.26,2.55
0.41,Very Good,H,SI1,60.0,61.0,683,4.77,4.83,2.88
0.78,Very Good,E,VS1,61.5,60.0,3898,5.86,5.92,3.62
0.9,Ideal,H,SI2,62.6,57.0,3548,6.16,6.07,3.83
0.95,Ideal,I,SI2,61.2,56.0,3918,6.33,6.37,3.89
0.62,Premium,E,VS1,62.2,58.0,2196,5.41,5.46,3.38
1.0,Premium,E,SI2,61.7,58.0,4704,6.39,6.34,3.93
0.31,Ideal,D,SI1,61.7,57.0,571,4.34,4.38,2.69
0.71,Very Good,F,VS1,62.8,56.0,2889,5.69,5.72,3.58
0.9,Good,H,VS1,60.6,61.0,4072,6.13,6.19,3.73
1.03,Premium,G,VS1,62.2,57.0,6659,6.47,6.42,4.01
0.76,Ideal,E,SI1,62.7,54.0,2858,5.88,5.83,3.67
0.36,Premium,F,VS2,60.5,59.0,932,4.64,4.61,2.8
0.75,Premium,D,SI1,61.3,59.0,2484,5.89,5.82,3.59
2.01,Very Good,I,VS1,63.5,59.0,14792,8.03,7.93,5.07
1.04,Ideal,G,VS1,61.7,56.0,7951,6.47,6.52,4.01
0.37,Ideal,E,VS2,61.0,56.0,737,4.62,4.66,2.83
0.55,Ideal,G,VS2,61.2,56.8,1604,5.28,5.31,3.24
0.33,Ideal,G,IF,61.0,55.0,946,4.49,4.52,2.75
1.22,Ideal,G,VS1,62.6,54.4,8830,6.77,6.83,4.26
2.0,Good,D,SI2,64.1,57.0,17094,7.91,7.82,5.04
1.18,Premium,I,SI2,62.9,58.0,3925,6.77,6.7,4.24
0.52,Ideal,E,VS2,61.1,55.0,1815,5.27,5.2,3.2
1.75,Ideal,J,VS2,62.1,56.0,9890,7.74,7.69,4.79
0.33,Very Good,H,SI2,63.5,57.0,534,4.39,4.36,2.78
0.32,Good,D,SI1,63.8,55.0,706,4.36,4.35,2.78
1.05,Ideal,G,VVS1,60.7,55.0,8946,6.6,6.65,4.02
0.28,Ideal,E,VVS2,60.3,57.0,646,4.21,4.25,2.55
0.7,Very Good,F,SI1,61.7,59.0,2313,5.64,5.68,3.49
1.42,Premium,H,SI1,62.3,58.0,8102,7.15,7.19,4.47
0.41,Very Good,D,SI2,63.1,54.0,818,4.75,4.72,2.99
0.41,Premium,D,VVS1,62.3,53.0,1582,4.78,4.75,2.97
1.01,Ideal,E,SI2,61.1,57.0,4751,6.52,6.48,3.97
1.23,Ideal,G,VVS2,62.7,56.0,10317,6.81,6.84,4.28
1.17,Ideal,G,SI1,60.7,56.0,6419,6.79,6.84,4.13
0.44,Premium,D,SI1,62.9,58.0,1089,4.85,4.82,3.04
1.02,Very Good,G,SI2,62.9,59.0,4291,6.38,6.4,4.02
0.53,Ideal,F,SI1,60.3,57.0,1359,5.21,5.24,3.15
0.95,Good,D,SI2,56.5,61.0,3214,6.53,6.5,3.68
0.32,Very Good,G,VS1,60.8,56.0,660,4.45,4.48,2.71
0.74,Very Good,D,SI2,63.1,58.0,2713,5.69,5.79,3.62
2.02,Ideal,I,SI1,62.3,57.0,15785,8.07,8.11,5.04
0.3,Ideal,E,VS1,62.5,54.0,703,4.27,4.32,2.69
1.51,Very Good,I,SI2,63.5,60.0,7441,7.28,7.21,4.6
1.51,Premium,I,SI1,62.7,61.0,8794,7.33,7.27,4.58
1.0,Fair,F,SI1,66.4,57.0,4256,6.21,6.14,4.1
0.51,Ideal,F,VS1,62.5,55.0,1744,5.08,5.13,3.19
0.31,Ideal,E,VVS2,60.8,56.0,767,4.39,4.42,2.68
0.31,Ideal,G,VS1,62.1,55.0,802,4.36,4.33,2.7
0.31,Premium,I,SI1,61.5,59.0,408,4.35,4.37,2.68
0.4,Ideal,F,VVS2,62.4,56.0,1163,4.74,4.72,2.95
1.01,Very Good,E,VS2,61.7,56.0,5777,6.41,6.45,3.97
0.71,Premium,E,VS1,61.1,58.0,3006,5.8,5.76,3.53
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46
0.31,Ideal,H,IF,60.0,57.0,1046,4.41,4.39,2.64
0.31,Ideal,F,IF,62.2,56.0,979,4.31,4.34,2.69
1.5,Good,G,VS2,63.6,60.0,12787,7.24,7.2,4.59
0.8,Ideal,F,VS1,62.4,55.0,3884,5.92,5.88,3.68
0.59,Good,I,VVS2,57.8,61.0,1427,5.52,5.6,3.21
0.54,Very Good,D,SI1,62.1,58.0,1662,5.21,5.23,3.24
0.32,Ideal,G,VVS2,62.1,57.0,730,4.4,4.42,2.74
0.3,Ideal,G,IF,61.8,55.0,813,4.33,4.35,2.68
