year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
2019,366000,15000,Petrol,Individual,Manual,First Owner,23.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591 CC,121.0,151Nm@ 4850rpm,5.0
2016,150000,42000,Petrol,Individual,Manual,First Owner,20.0,1198 CC,67.0,104Nm@ 4000rpm,5.0
2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.0,2179 CC,138.0,320Nm@ 1700-2700rpm,7.0
2012,150000,76000,Petrol,Individual,Manual,First Owner,16.0,796 CC,37.0,59Nm@ 2500rpm,4.0
2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368 CC,160.0,250Nm@ 1750-2500rpm,5.0
2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.0,1497 CC,117.0,145Nm@ 4600rpm,5.0
2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.0,1497 CC,116.0,146Nm@ 4800rpm,5.0
2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.0,2982 CC,168.0,343Nm@ 1400-3400rpm,7.0
2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.0,2494 CC,100.0,200Nm@ 1400-3400rpm,7.0
2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.0,2143 CC,120.0,200Nm@ 1250-4000rpm,5.0
2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.0,1498 CC,98.0,200Nm@ 1750rpm,5.0
2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.0,2477 CC,175.0,400Nm@ 2000-2500rpm,7.0
2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498 CC,98.0,200Nm@ 1750rpm,5.0
2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.0,1462 CC,103.0,138Nm@ 4400rpm,5.0
2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.0,1498 CC,98.0,200Nm@ 1750rpm,5.0
2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.0,2755 CC,171.0,360Nm@ 1200-3400rpm,7.0
2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.0,2494 CC,100.0,200Nm@ 1200-3600rpm,7.0
2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.0,1968 CC,174.0,380Nm@ 1750-2500rpm,5.0
2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.0,1798 CC,138.0,173Nm@ 4000rpm,5.0
2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.0,1968 CC,187.0,400Nm@ 1750-3000rpm,5.0
2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.0,2143 CC,170.0,400Nm@ 1400-2800rpm,5.0
2011,265000,120000,Diesel,Individual,Manual,First Owner,21.0,1248 CC,88.0,200Nm@ 1750-3000rpm,5.0
2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.0,1197 CC,78.0,111.7Nm@ 4000rpm,5.0
2013,425000,60000,Diesel,Individual,Manual,First Owner,21.0,1396 CC,88.0,219.6Nm@ 1500-2750rpm,5.0
2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.0,1196 CC,86.0,112Nm@ 4000rpm,5.0
2019,650000,30000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498 CC,108.0,250Nm@ 1500-3000rpm,5.0
2015,630000,135000,Diesel,Individual,Manual,First Owner,25.0,1498 CC,98.0,200Nm@ 1750rpm,5.0
2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2017,500000,80000,Diesel,Individual,Manual,First Owner,21.0,1498 CC,108.0,250Nm@ 1500-3000rpm,5.0
2016,745000,70000,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.0,1197 CC,78.0,111.7Nm@ 4000rpm,5.0
2016,630000,70000,Diesel,Individual,Manual,First Owner,25.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.0,2982 CC,168.0,343Nm@ 1400-3400rpm,7.0
2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.0,1373 CC,93.0,130Nm@ 4000rpm,7.0
2003,50000,70000,Diesel,Individual,Manual,First Owner,,,,,
2013,450000,170000,Diesel,Individual,Manual,First Owner,20.0,1598 CC,103.0,250Nm@ 1500-2500rpm,5.0
2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.0,2494 CC,100.0,200Nm@ 1200-3600rpm,8.0
2015,610000,90000,Diesel,Individual,Manual,First Owner,22.0,1498 CC,98.0,205Nm@ 1750-3250rpm,5.0
2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.0,1998 CC,189.0,280Nm@ 1350-4600rpm,5.0
2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.0,1198 CC,67.0,104Nm@ 4000rpm,5.0
2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2015,475000,78000,Diesel,Dealer,Manual,First Owner,,,,,
2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.0,1086 CC,68.0,99.04Nm@ 4500rpm,5.0
2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796 CC,35.0,6.1kgm@ 3000rpm,5.0
2010,225000,44000,LPG,Dealer,Manual,First Owner,26.0,998 CC,58.0,77Nm@ 3500rpm,5.0
2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.0,1198 CC,74.0,110Nm@ 3750rpm,5.0
2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.0,1086 CC,68.0,99.04Nm@ 4500rpm,5.0
2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.0,1598 CC,103.0,153Nm@ 3800rpm,5.0
2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.0,1197 CC,82.0,113.7Nm@ 4000rpm,5.0
2016,600000,150000,Diesel,Individual,Manual,First Owner,26.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2017,725000,110000,Diesel,Individual,Manual,First Owner,22.0,1396 CC,88.0,219.7Nm@ 1500-2750rpm,5.0
2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.0,1248 CC,90.0,200Nm@ 1750-3000rpm,5.0
2019,615000,10000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.0,1196 CC,73.0,101Nm@ 3000rpm,7.0
2018,610000,35000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.0,2179 CC,120.0,290Nm@ 1800-2800rpm,8.0
2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194 CC,94.0,120Nm@ 4250rpm,5.0
2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591 CC,121.0,151Nm@ 4850rpm,5.0
2010,700000,114000,Petrol,Individual,Manual,First Owner,14.0,1798 CC,160.0,250Nm@ 1500~4500rpm,5.0
2010,300000,48000,Petrol,Individual,Manual,First Owner,15.0,1172 CC,65.0,96 Nm at 3000 rpm,5.0
2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.0,2179 CC,155.0,360Nm@ 1750-2800rpm,7.0
2016,375000,100000,Diesel,Individual,Manual,First Owner,19.0,1405 CC,69.0,135Nm@ 2500rpm,5.0
2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.0,1582 CC,126.0,259.8Nm@ 1900-2750rpm,5.0
2013,451999,69000,Diesel,Individual,Manual,First Owner,21.0,1396 CC,88.0,219.6Nm@ 1500-2750rpm,5.0
2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.0,1798 CC,138.0,173Nm@ 4000rpm,5.0
2020,475000,13000,Petrol,Individual,Manual,First Owner,21.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2016,780000,60000,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2017,595000,40000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2017,440000,35000,Petrol,Individual,Manual,First Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2010,300000,120000,Diesel,Individual,Manual,Second Owner,,,,,
2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.0,1461 CC,83.0,200Nm@ 1900rpm,5.0
2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.0,1582 CC,126.0,259.9Nm@ 1900-2750rpm,5.0
2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498 CC,98.0,205Nm@ 1750-3250rpm,5.0
2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.0,1248 CC,73.0,190Nm@ 2000rpm,5.0
2018,350000,25000,Petrol,Individual,Manual,First Owner,23.0,999 CC,67.0,91Nm@ 4250rpm,5.0
2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2013,625000,90000,Diesel,Individual,Manual,Second Owner,20.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.0,1086 CC,62.0,96.1Nm@ 3000rpm,5.0
2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.0,1198 CC,86.0,109Nm@ 4500rpm,5.0
2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.0,1968 CC,188.0,400nm@ 1750-3000rpm,5.0
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.0,2487 CC,214.0,202Nm@ 3600-5200rpm,5.0
2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.0,1999 CC,177.0,430Nm@ 1750-2500rpm,5.0
2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.0,3604 CC,280.0,347Nm@ 4300rpm,5.0
2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.0,1999 CC,148.0,382nm@ 1750-2250rpm,7.0
2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.0,2987 CC,254.0,620Nm@ 1600-2400rpm,5.0
2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.0,1995 CC,187.0,400Nm@ 1750-2500rpm,5.0
2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,,,,,
2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995 CC,190.0,400Nm@ 1750-2500rpm,5.0
2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.0,1798 CC,177.0,250@ 1250-5000rpm,5.0
2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143 CC,204.0,500Nm@ 1600-1800rpm,5.0
2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.0,1451 CC,141.0,250Nm@ 1600-3600rpm,5.0
2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497 CC,117.0,145Nm@ 4600rpm,5.0
2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.0,1798 CC,138.0,173Nm@ 4000rpm,5.0
2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969 CC,190.0,400Nm,5.0
2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.0,2967 CC,241.0,550Nm@ 1750-2750rpm,7.0
2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.0,2987 CC,282.0,490Nm@ 1600rpm,5.0
2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.0,2497 CC,150.0,250 Nm at 2750 rpm,5.0
2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.0,1797 CC,147.0,177.5Nm@ 4700rpm,5.0
2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.0,1999 CC,177.0,430Nm@ 1750-2500rpm,5.0
2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198 CC,108.0,170Nm@ 1750-4000rpm,5.0
2011,375000,49000,Petrol,Individual,Manual,First Owner,15.0,1598 CC,103.0,153Nm@ 3800rpm,5.0
2012,550000,95000,Petrol,Individual,Manual,First Owner,16.0,1797 CC,147.0,177.5Nm@ 4700rpm,5.0
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.0,1598 CC,103.0,153Nm@ 3800rpm,5.0
2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.0,1991 CC,183.0,300Nm@ 1200-4000rpm,5.0
2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.0,1373 CC,93.0,130Nm@ 4000rpm,7.0
2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.0,1991 CC,181.0,300Nm@ 1200-1400rpm,5.0
2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.0,1497 CC,116.0,146Nm@ 4800rpm,5.0
2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.0,2755 CC,171.0,360Nm@ 1200-3400rpm,7.0
2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.0,1497 CC,108.0,260Nm@ 1500-2750rpm,5.0
2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.0,1995 CC,190.0,400Nm@ 1750-2500rpm,5.0
2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.0,2494 CC,157.0,213Nm@ 4500rpm,5.0
2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.0,1995 CC,190.0,400Nm@ 1750-2500rpm,5.0
2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.0,2362 CC,164.0,224Nm@ 4000rpm,5.0
2016,850000,20000,Petrol,Individual,Manual,First Owner,17.0,1373 CC,91.0,130Nm@ 4000rpm,7.0
2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969 CC,400.0,640Nm@ 1740rpm,4.0
2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.0,1598 CC,103.0,250Nm@ 1500-2500rpm,5.0
2018,575000,9500,Petrol,Individual,Manual,First Owner,18.0,1196 CC,86.0,112Nm@ 4000rpm,5.0
2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2015,515000,36600,Petrol,Individual,Manual,First Owner,20.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
1999,40000,40000,Petrol,Individual,Manual,Second Owner,16.0,796 CC,37.0,59Nm@ 2500rpm,4.0
2010,220000,120000,Diesel,Individual,Manual,First Owner,21.0,1248 CC,73.0,113Nm@ 4500rpm,5.0
2015,425000,70000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2019,480000,13000,Petrol,Individual,Manual,First Owner,19.0,999 CC,75.0,95Nm@ 3000-4300rpm,5.0
2014,400000,60000,Petrol,Individual,Manual,Second Owner,18.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2014,487000,35000,Petrol,Individual,Manual,First Owner,19.0,1197 CC,85.0,114Nm@ 4000rpm,5.0
2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2005,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493 CC,100.0,13.1kgm@ 4600rpm,5.0
2010,300000,60000,Diesel,Individual,Manual,First Owner,21.0,1364 CC,87.0,205Nm@ 1800-2800rpm,5.0
2000,100000,60000,Petrol,Individual,Manual,First Owner,18.0,796 CC,53.0,71Nm@ 3500rpm,5.0
2014,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982 CC,168.0,343Nm@ 1400-3400rpm,7.0
2016,450000,15000,Petrol,Individual,Manual,Second Owner,18.0,1198 CC,82.0,115Nm@ 3500-3600rpm,6.0
2017,490000,90000,Diesel,Individual,Manual,First Owner,22.0,1248 CC,74.0,190Nm@ 1750-3000rpm,5.0
2009,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497 CC,118.0,146Nm at 4800 rpm,5.0
2005,85000,90000,Petrol,Individual,Manual,First Owner,17.0,993 CC,60.0,78Nm@ 4500rpm,5.0
2010,215000,120600,Petrol,Individual,Manual,Second Owner,18.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2010,320000,100000,Petrol,Individual,Manual,Third Owner,16.0,1599 CC,103.0,14.9 KGM at 3000 RPM,5.0
2016,459999,60000,Petrol,Individual,Manual,Second Owner,20.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2005,65000,86000,Petrol,Individual,Manual,First Owner,15.0,1341 CC,83.0,115Nm@ 3200rpm,5.0
2020,720000,5000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,117nm@ 4000rpm,5.0
2017,800000,37000,Diesel,Individual,Manual,First Owner,28.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2019,520000,14000,Petrol,Individual,Manual,First Owner,20.0,1199 CC,84.0,114Nm@ 3500rpm,5.0
2015,580000,70000,Diesel,Individual,Manual,First Owner,20.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2012,235000,120000,Diesel,Individual,Manual,First Owner,,,,,
2015,600000,50000,Petrol,Individual,Manual,First Owner,17.0,1497 CC,117.0,145Nm@ 4600rpm,5.0
2014,290000,60000,Petrol,Individual,Manual,Second Owner,19.0,1198 CC,86.0,109Nm@ 4500rpm,5.0
2016,360000,50000,CNG,Individual,Manual,First Owner,26.0,998 CC,58.0,77Nm@ 3500rpm,5.0
2017,550000,50000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2013,375000,70000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,82.0,113.7Nm@ 4000rpm,5.0
2003,40000,90000,Petrol,Individual,Manual,Second Owner,,,,,
2018,420000,35000,Petrol,Individual,Automatic,First Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2017,550000,20000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2018,270000,20000,Petrol,Individual,Manual,First Owner,24.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2018,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2017,500000,20000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2019,1250000,15000,Diesel,Individual,Manual,First Owner,17.0,2179 CC,147.0,320Nm@ 1500-3000rpm,7.0
2013,320000,31377,Petrol,Individual,Manual,Second Owner,18.0,1197 CC,82.0,113.7Nm@ 4000rpm,5.0
2018,700000,50000,Diesel,Individual,Manual,First Owner,28.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2015,290000,60000,Petrol,Individual,Manual,First Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2012,550000,100000,Petrol,Individual,Automatic,First Owner,14.0,1794 CC,138.0,173Nm@ 4000rpm,5.0
2012,265000,60000,Petrol,Individual,Manual,First Owner,19.0,1198 CC,86.0,109Nm@ 4500rpm,5.0
2018,830000,5000,Petrol,Individual,Automatic,First Owner,21.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2017,800000,60000,Diesel,Individual,Manual,First Owner,14.0,2179 CC,147.0,320Nm@ 1500-3000rpm,7.0
2011,160000,25000,Petrol,Individual,Manual,Second Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2018,335000,30000,Petrol,Individual,Manual,First Owner,25.0,799 CC,53.0,72Nm@ 4386rpm,5.0
2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.0,1198 CC,67.0,104Nm@ 4000rpm,5.0
2017,775000,75000,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2020,524000,32000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,81.0,113.75nm@ 4000rpm,5.0
2015,245000,40000,Petrol,Individual,Manual,First Owner,22.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2012,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197 CC,80.0,"11.4 kgm at 4,000 rpm",5.0
2018,520000,60000,Petrol,Individual,Manual,First Owner,17.0,1193 CC,88.0,140Nm@ 1500-4000rpm,5.0
2008,130000,120000,Petrol,Individual,Manual,Second Owner,,,,,
2014,550000,37000,Petrol,Individual,Manual,First Owner,16.0,1498 CC,97.0,134Nm@ 4000rpm,5.0
2018,910000,15000,Petrol,Individual,Manual,First Owner,17.0,1497 CC,121.0,150Nm@ 4500rpm,5.0
2015,300000,80000,Petrol,Individual,Manual,First Owner,19.0,1198 CC,67.0,104Nm@ 4000rpm,5.0
2016,350000,140000,Petrol,Individual,Manual,First Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2013,900000,70000,Diesel,Individual,Manual,First Owner,12.0,2696 CC,162.0,340Nm@ 1800-3250rpm,7.0
2013,300000,120000,Diesel,Individual,Manual,Second Owner,17.0,1493 CC,100.0,240Nm@ 1600-2800rpm,7.0
