carat,cut,color,clarity,depth,table,price,x,y,z
0.9,Ideal,J,VS2,62.8,55.0,2817,6.2,6.16,3.88
1.03,Premium,F,VVS1,59.7,60.0,10546,6.63,6.57,3.94
0.24,Very Good,E,VVS2,62.9,57.0,485,3.96,3.99,2.5
0.58,Ideal,G,VS2,61.2,55.0,1558,5.4,5.45,3.32
1.17,Ideal,F,VS1,62.2,56.0,8806,6.77,6.74,4.2
1.03,Very Good,G,VS1,61.3,56.1,7511,6.5,6.52,3.99
0.33,Ideal,I,IF,61.8,55.0,891,4.47,4.46,2.76
0.32,Premium,F,VS2,59.4,58.0,828,4.48,4.44,2.65
0.39,Good,E,VS1,57.8,58.0,1082,4.86,4.9,2.82
1.02,Premium,E,VS2,61.6,60.0,6580,6.51,6.42,3.98
1.2,Premium,G,VS1,63.0,61.0,8938,6.62,6.59,4.16
1.01,Very Good,G,VS2,63.0,57.0,5919,6.35,6.42,4.02
0.71,Ideal,F,SI2,61.4,55.0,2525,5.76,5.78,3.54
1.02,Ideal,E,VVS1,61.3,57.0,11128,6.47,6.54,3.99
0.82,Ideal,F,SI1,61.7,56.0,3810,6.01,6.06,3.72
0.34,Premium,E,SI2,61.5,58.0,477,4.49,4.52,2.77
1.02,Very Good,H,SI1,63.0,58.0,4617,6.34,6.4,4.01
0.55,Ideal,G,VVS1,62.0,55.0,2042,5.25,5.27,3.26
0.32,Ideal,E,VVS2,60.4,59.0,779,4.45,4.49,2.7
0.41,Premium,J,VS1,62.0,55.0,830,4.77,4.74,2.95
1.0,Premium,G,SI2,61.5,56.0,3142,6.49,6.44,3.97
0.36,Premium,E,VVS1,62.4,56.0,1035,4.57,4.53,2.84
0.31,Ideal,H,VVS2,61.8,56.0,625,4.34,4.36,2.69
0.71,Very Good,D,SI2,61.8,63.0,2279,5.73,5.67,3.52
0.41,Ideal,E,VS1,61.2,56.0,1144,4.82,4.89,2.97
1.72,Very Good,I,SI2,63.4,57.0,8630,7.6,7.58,4.81
0.32,Very Good,D,SI1,62.6,58.0,589,4.33,4.36,2.72
1.06,Ideal,G,VS1,61.7,55.0,8093,6.53,6.56,4.04
1.02,Ideal,E,VVS1,62.2,58.0,12035,6.42,6.44,4.0
0.4,Premium,E,SI1,62.8,59.0,907,4.7,4.67,2.94
0.41,Very Good,E,SI1,60.5,61.0,755,4.78,4.8,2.9
1.71,Very Good,H,VS2,58.8,60.0,12493,7.8,7.85,4.6
1.21,Very Good,D,VVS2,62.4,56.0,13630,6.76,6.83,4.24
0.77,Premium,E,SI2,61.3,55.0,2723,5.9,5.85,3.6
0.32,Ideal,D,SI2,62.4,54.0,477,4.38,4.4,2.74
2.07,Premium,J,VS2,61.5,59.0,13675,8.16,8.2,5.03
1.2,Ideal,F,VS2,61.9,53.0,8669,6.84,6.79,4.22
0.31,Ideal,G,VS1,61.5,54.0,658,4.39,4.43,2.71
1.52,Ideal,F,SI2,61.2,57.0,9057,7.45,7.39,4.54
0.76,Ideal,H,VVS2,61.8,57.0,2690,5.84,5.91,3.63
1.01,Premium,J,SI2,61.7,58.0,3499,6.4,6.44,3.96
0.96,Ideal,F,I1,60.7,55.0,2801,6.37,6.41,3.88
1.89,Premium,G,SI2,62.9,58.0,10055,7.87,7.81,4.93
1.0,Ideal,H,SI1,62.6,57.0,4469,6.4,6.37,4.0
0.9,Very Good,E,SI1,63.5,55.0,3508,6.22,6.12,3.92
1.01,Good,E,SI2,58.7,63.0,4685,6.52,6.6,3.85
0.59,Premium,H,VS2,60.2,60.0,1590,5.45,5.42,3.27
0.53,Ideal,E,VS1,60.9,57.0,1827,5.25,5.19,3.18
1.03,Ideal,I,VS2,61.2,56.0,5378,6.5,6.51,3.98
0.74,Ideal,D,VS1,61.7,55.0,3746,5.85,5.79,3.59
0.28,Very Good,H,VVS2,62.4,54.0,450,4.2,4.23,2.63
1.01,Ideal,E,VS1,62.7,55.0,7665,6.45,6.4,4.03
1.51,Ideal,H,SI1,62.3,53.7,11062,7.33,7.37,4.58
0.26,Premium,E,VVS1,61.7,59.0,599,4.1,4.14,2.54
0.72,Ideal,D,SI1,62.2,56.0,2804,5.74,5.77,3.58
1.74,Good,G,VS1,58.6,62.0,16223,7.83,7.88,4.6
0.44,Premium,H,VVS1,60.1,58.0,1196,4.96,4.92,2.97
0.72,Premium,E,SI2,62.6,59.0,2355,5.7,5.74,3.58
2.01,Premium,I,SI1,61.0,60.0,12617,8.16,8.11,4.96
0.35,Ideal,E,VS1,61.1,55.0,773,4.56,4.58,2.79
0.61,Ideal,I,VS2,62.0,57.0,1627,5.43,5.46,3.37
0.78,Ideal,E,SI1,62.7,55.0,3014,5.9,5.87,3.69
2.32,Ideal,G,SI2,61.0,58.0,18532,8.5,8.54,5.2
1.56,Ideal,J,VS1,62.5,56.0,8763,7.38,7.46,4.64
1.09,Very Good,H,SI1,61.8,58.0,4784,6.58,6.63,4.08
0.3,Ideal,D,VS2,60.9,57.0,857,4.34,4.36,2.65
0.56,Ideal,D,VS2,60.6,56.0,2066,5.37,5.33,3.24
0.3,Premium,I,VS1,60.3,58.0,473,4.32,4.34,2.61
0.36,Ideal,F,VVS2,60.4,58.0,853,4.61,4.66,2.8
1.23,Premium,I,SI2,62.5,60.0,5269,6.82,6.75,4.24
0.36,Ideal,G,VVS2,62.3,56.0,1053,4.56,4.53,2.83
0.55,Ideal,G,IF,60.0,57.0,2440,5.33,5.39,3.22
0.25,Ideal,G,VS1,62.3,53.0,460,4.02,4.07,2.52
0.97,Good,H,SI1,62.1,60.0,4020,6.24,6.29,3.89
1.52,Premium,I,SI1,60.5,60.0,8694,7.4,7.48,4.5
0.7,Ideal,I,VS1,62.7,53.4,2363,5.66,5.74,3.57
2.01,Premium,H,SI2,62.2,61.0,15673,8.08,8.04,5.01
2.05,Premium,I,SI2,62.0,58.0,9850,8.13,8.08,5.02
1.01,Very Good,E,SI1,63.4,60.0,5226,6.34,6.3,4.01
0.4,Ideal,D,SI1,62.1,56.0,772,4.7,4.74,2.93
0.93,Good,J,VS2,63.6,61.0,3000,6.16,6.08,3.89
0.54,Ideal,H,VVS1,61.1,57.0,1846,5.22,5.26,3.2
1.23,Ideal,I,SI2,61.2,58.0,5315,6.86,6.9,4.21
0.37,Very Good,H,VS1,59.8,59.0,695,4.66,4.7,2.8
0.35,Ideal,F,VS2,62.1,57.0,906,4.55,4.53,2.82
0.24,Very Good,E,VVS2,60.6,62.0,478,4.03,4.06,2.45
0.3,Premium,H,SI1,60.1,55.0,554,4.41,4.38,2.64
1.01,Very Good,F,SI2,61.8,56.0,4298,6.43,6.38,3.96
1.6,Ideal,F,VS1,60.5,57.0,18571,7.6,7.63,4.61
0.3,Premium,J,SI1,62.7,59.0,450,4.27,4.21,2.66
0.76,Ideal,G,VS2,61.5,55.0,3183,5.92,5.88,3.63
1.16,Fair,H,SI1,65.8,58.0,5411,6.54,6.46,4.28
0.3,Ideal,G,IF,61.7,55.0,895,4.31,4.34,2.67
1.0,Ideal,D,SI1,62.2,56.0,5880,6.38,6.35,3.96
0.33,Ideal,G,VS2,62.3,57.0,579,4.4,4.43,2.75
0.3,Very Good,G,SI1,62.9,59.0,447,4.24,4.28,2.68
1.54,Ideal,G,VS2,61.4,57.0,14103,7.47,7.42,4.57
0.38,Premium,I,SI1,60.2,60.0,746,4.68,4.65,2.81
1.02,Very Good,H,SI1,58.4,62.0,4518,6.55,6.61,3.84
1.53,Very Good,G,VS1,62.8,56.0,12654,7.31,7.37,4.61
1.02,Ideal,H,VS2,61.8,55.0,6065,6.48,6.51,4.01
0.5,Very Good,G,SI1,62.6,56.0,1197,5.06,5.1,3.18
0.55,Ideal,G,VS2,62.4,56.0,1448,5.23,5.25,3.27
1.5,Very Good,E,SI1,59.3,60.0,12247,7.4,7.5,4.42
0.33,Ideal,G,VVS1,61.8,55.0,838,4.47,4.5,2.77
1.2,Ideal,H,VS2,60.8,55.0,7190,6.9,6.85,4.18
0.7,Very Good,E,SI1,61.2,57.0,2753,5.68,5.73,3.49
0.33,Very Good,I,VS2,62.6,58.0,463,4.34,4.42,2.74
1.01,Fair,I,VS1,64.9,56.0,3801,6.29,6.2,4.07
1.62,Ideal,F,VS1,61.3,56.0,16790,7.54,7.63,4.65
1.51,Premium,H,VS2,61.2,59.0,7534,7.4,7.38,4.52
0.7,Premium,G,SI2,58.9,59.0,1636,5.73,5.7,3.37
1.0,Very Good,F,SI1,63.3,58.0,5521,6.34,6.36,4.02
1.31,Premium,I,VS1,62.8,57.0,5759,6.98,6.9,4.36
0.27,Very Good,E,VVS1,62.4,55.0,591,4.18,4.22,2.62
1.25,Ideal,G,VVS2,61.5,55.0,10636,6.92,6.94,4.26
1.13,Ideal,G,VVS2,61.6,57.0,10396,6.66,6.75,4.13
0.3,Good,H,SI1,63.7,56.0,540,4.22,4.2,2.68
0.55,Ideal,F,VS2,61.2,55.0,1580,5.28,5.3,3.24
0.73,Premium,E,SI1,62.2,59.0,2821,5.77,5.68,3.56
0.73,Ideal,F,SI2,61.9,55.0,2588,5.78,5.82,3.59
0.53,Very Good,F,VS2,61.9,58.0,1631,5.17,5.2,3.21
0.72,Ideal,D,SI2,60.5,57.0,3176,5.82,5.89,3.54
0.41,Ideal,D,VS2,62.4,54.0,1007,4.74,4.78,2.97
1.11,Premium,F,VS2,61.9,58.0,7371,6.7,6.64,4.13
0.92,Premium,F,SI1,61.8,59.0,4037,6.21,6.25,3.85
0.4,Premium,F,SI1,62.3,57.0,945,4.74,4.67,2.93
1.04,Ideal,F,IF,61.8,55.0,10787,6.49,6.56,4.03
0.42,Ideal,D,SI1,63.0,57.0,970,4.81,4.77,3.02
1.2,Premium,H,VS2,62.5,58.0,6416,6.77,6.73,4.23
1.11,Very Good,E,SI1,62.4,57.0,6563,6.58,6.6,4.11
0.35,Ideal,G,IF,61.1,56.0,1044,4.54,4.59,2.79
0.3,Ideal,G,IF,61.5,55.0,863,4.33,4.35,2.67
0.53,Ideal,E,VVS2,62.5,57.0,2250,5.12,5.18,3.22
0.78,Very Good,F,SI1,62.4,58.0,3045,5.83,5.86,3.65
0.57,Ideal,E,VS2,60.4,57.0,1819,5.4,5.36,3.25
0.57,Premium,E,VS2,62.0,58.0,1763,5.38,5.33,3.32
0.75,Very Good,D,SI1,59.7,62.0,3046,5.89,5.94,3.53
0.32,Premium,G,VS1,62.8,58.0,828,4.39,4.34,2.74
0.96,Premium,H,SI1,63.0,58.0,4026,6.27,6.23,3.94
0.91,Premium,D,SI1,62.8,57.0,4228,6.17,6.12,3.86
0.7,Ideal,E,VS2,60.5,59.0,3201,5.72,5.75,3.47
0.43,Ideal,I,VVS1,62.2,57.0,905,4.81,4.84,3.0
2.05,Premium,I,SI2,62.0,58.0,9850,8.13,8.08,5.02
0.29,Ideal,I,VS1,61.7,56.0,444,4.22,4.27,2.62
1.0,Fair,E,SI2,65.2,59.0,4516,6.28,6.27,4.09
0.31,Premium,G,VVS2,62.2,59.0,907,4.36,4.32,2.7
0.41,Very Good,E,VS1,62.8,56.0,834,4.72,4.77,2.98
2.08,Ideal,J,SI2,62.3,55.0,12179,8.23,8.17,5.11
1.55,Very Good,H,VS2,61.3,61.0,11602,7.39,7.46,4.55
2.1,Ideal,H,VS2,62.5,57.0,13403,8.21,8.18,5.12
1.06,Good,G,VS2,63.1,59.0,6212,6.45,6.48,4.08
0.32,Ideal,F,VVS1,61.1,56.0,1061,4.45,4.42,2.71
1.0,Good,E,SI1,63.7,60.0,5082,6.24,6.29,3.99
1.51,Premium,G,VS2,61.1,58.0,13828,7.42,7.38,4.45
0.52,Ideal,F,VS2,61.3,56.0,1451,5.14,5.2,3.17
0.4,Premium,G,VS2,61.9,58.0,966,4.76,4.74,2.94
1.9,Premium,J,SI1,61.9,57.0,10885,7.98,7.95,4.93
0.3,Ideal,E,VS2,61.3,57.0,658,4.29,4.33,2.64
0.4,Premium,F,VVS1,60.2,59.0,1263,4.74,4.76,2.86
